LfdNr,Produktgruppe,Amt,Ausschuss,Empfaenger,Verwendungszweck_Zielsetzung,Zuschuss_2026_EUR,davon_Personalkosten_2026_EUR,davon_Overhead_2026_EUR,davon_sonstigeKosten_2026_EUR,Zuschuss_2027_EUR,davon_Personalkosten_2027_EUR,davon_Overhead_2027_EUR,davon_sonstigeKosten_2027_EUR,verpflichtend_freiwillig,zeitliche_Befristung
57,0302,40,ASW,Stadtsportbund,Pädagogische Förderung mit dem Pferd,20000.0,0.0,0.0,20000.0,20000.0,0.0,0.0,20000.0,freiwillig,31.12.2028
58,0302,40,ASW,Jugendausbildungszentrum (JAZ gGmbH) der Caritas Münster,Kofinanzierung der LWL-Jugendwerkstatt,0.0,0.0,0.0,0.0,120000.0,86000.0,20000.0,14000.0,freiwillig,31.12.2028
59,0302,40,ASW,Lernen fördern e. V.,Kooperation in der Werkstattschule Münster,134950.0,114480.0,9850.0,10620.0,137350.0,116880.0,9850.0,10620.0,dem Grunde nach,31.12.2028
60,0401,41,KA,Annette von Droste-Gesellschaft e.V.,Betrieb und Programm,3750.0,3375.0,0.0,375.0,3820.0,3438.0,0.0,382.0,freiwillig,31.12.2029
61,0401,41,KA,Arbeitskreis Ostviertel e.V.,Betrieb des Bennohauses,24430.0,21987.0,0.0,2443.0,24870.0,22383.0,0.0,2487.0,freiwillig,31.12.2030
62,0401,41,KA,Arbeitskreis Ostviertel e.V.,Personalkostenzuschuss,270240.0,243216.0,0.0,27024.0,275110.0,247599.0,0.0,27511.0,freiwillig,31.12.2030
63,0401,41,KA,B-Side Kultur e.V.,Umsetzung des Projektes B-Side und Aufbau des Betriebes,220000.0,198000.0,0.0,22000.0,225000.0,202500.0,0.0,22500.0,freiwillig,31.12.2030
64,0401,41,KA,Bürgerausschuss Münsterscher Karneval e.V.,Durchführung Rosenmontagszug,22440.0,0.0,0.0,22440.0,22440.0,0.0,0.0,22440.0,freiwillig,31.12.2030
65,0401,41,KA,Bürgerverein für Mecklenbeck e.V.,Betrieb Hof Hesselmann,64850.0,58365.0,0.0,6485.0,66020.0,59418.0,0.0,6602.0,freiwillig,31.12.2032
66,0401,41,KA,Bürgerverein für Mecklenbeck e.V.,Bauunterhaltung Hof Hesselmann,16560.0,14904.0,0.0,1656.0,16860.0,15174.0,0.0,1686.0,freiwillig,31.12.2032
67,0401,41,KA,Charivari Puppentheater,Betrieb des Charivari Puppentheaters,40000.0,36000.0,0.0,4000.0,39970.0,35973.0,0.0,3997.0,freiwillig,31.12.2028
68,0401,41,KA,Chorverband Münster Stadt und Land e.V.,Betrieb des Chorverbandes,4920.0,4428.0,0.0,492.0,5010.0,4509.0,0.0,501.0,freiwillig,31.12.2030
69,0401,41,KA,De Bockwindmüel e.V.,Betrieb und Instandhaltung des Mühlenhof Freilichtmuseums,158080.0,142272.0,0.0,15808.0,128410.0,115569.0,0.0,12841.0,freiwillig,31.12.2030
70,0401,41,KA,Die Linse - Verein zur Förderung kommunaler Filmarbeit e.V.,Betrieb und Kinoprogramm Cinema,34810.0,31329.0,0.0,3481.0,35440.0,31896.0,0.0,3544.0,freiwillig,31.12.2030
71,0401,41,KA,echtzeit-Theater GbR,Durchführung Westwind-Festival,36000.0,0.0,0.0,36000.0,0.0,0.0,0.0,0.0,freiwillig,31.12.2026
72,0401,41,KA,Filmwerkstatt Münster e.V.,Betrieb der Filmwerkstatt,98960.0,89064.0,0.0,9896.0,100880.0,90792.0,0.0,10088.0,freiwillig,31.12.2030
73,0401,41,KA,Filmwerkstatt Münster e.V.,Durchführung Filmfestival Münster,24800.0,0.0,0.0,24800.0,24800.0,0.0,0.0,24800.0,freiwillig,31.12.2028
74,0401,41,KA,Filmwerkstatt Münster e.V.,Durchführung LiFilm-Festival,12500.0,0.0,0.0,12500.0,12500.0,0.0,0.0,12500.0,freiwillig,31.12.2028
75,0401,41,KA,Flurstücke e.V.,Programmzuschuss Festival Flurstücke,62500.0,0.0,0.0,62500.0,62500.0,0.0,0.0,62500.0,freiwillig,31.12.2028
76,0401,41,KA,Förderverein Aktuelle Kunst e.V.,Atelierbetrieb,9810.0,8829.0,0.0,981.0,9990.0,8991.0,0.0,999.0,freiwillig,31.12.2028
77,0401,41,KA,Friedrich-Hundt-Gesellschaft e.V.,Stärkung der Kunstform Fotografie / Programm,7500.0,0.0,0.0,7500.0,7500.0,0.0,0.0,7500.0,freiwillig,31.12.2029
78,0401,41,KA,Gesellschaft für Christlich-Jüdische Zusammenarbeit Münster e.V.,Betrieb und Programm,12240.0,11016.0,0.0,1224.0,12460.0,11214.0,0.0,1246.0,freiwillig,31.12.2030
79,0401,41,KA,Gesellschaft für Leprakunde e.V.,Betrieb Leprosenhaus,2710.0,2439.0,0.0,271.0,2760.0,2484.0,0.0,276.0,freiwillig,31.12.2032
80,0401,41,KA,"Jüdische Gemeinde Münster, K.d.ö.R.",Programm Führungen durch die Synagoge,5850.0,0.0,0.0,5850.0,5850.0,0.0,0.0,5850.0,freiwillig,31.12.2028
81,0401,41,KA,Jugendtheater-Werkstatt e.V.,Betrieb Cactus Junges Theater,66700.0,60030.0,0.0,6670.0,67900.0,61110.0,0.0,6790.0,freiwillig,31.12.2030
82,0401,41,KA,Kreativ-Haus e.V.,Bertieb Jugendkunstschule,72660.0,65394.0,0.0,7266.0,73970.0,66573.0,0.0,7397.0,freiwillig,31.12.2029
83,0401,41,KA,Kreativ-Haus e.V.,Betrieb des Kreativhauses,93650.0,84285.0,0.0,9365.0,95340.0,85806.0,0.0,9534.0,freiwillig,31.12.2029
84,0401,41,KA,Kultur Kooperative Münster e.V.,Betrieb der KKM,6990.0,6291.0,0.0,699.0,7120.0,6408.0,0.0,712.0,freiwillig,31.12.2032
85,0401,41,KA,Kuratorium Mehrzweckhalle Gelmer,Betrieb und Programm der Mehrzweckhalle Gelmer,11700.0,10530.0,0.0,1170.0,11910.0,10719.0,0.0,1191.0,freiwillig,31.12.2029
86,0401,41,KA,medienforum münster e.V.,Berieb des Medienforums,43450.0,39105.0,0.0,4345.0,44230.0,39807.0,0.0,4423.0,freiwillig,31.12.2028
87,0401,41,KA,moNOkultur Münster e.V.,Finanzierung Geschäftsführer*instelle,40800.0,40800.0,0.0,0.0,41600.0,41600.0,0.0,0.0,freiwillig,31.12.2027
88,0401,41,KA,Soziokultur Achtermannstraße e.V.,Programm,41140.0,0.0,0.0,41140.0,41140.0,0.0,0.0,41140.0,freiwillig,31.12.2030
89,0401,41,KA,Soziokultur Achtermannstraße e.V.,Bertrieb,91180.0,82062.0,0.0,9118.0,92830.0,83547.0,0.0,9283.0,freiwillig,31.12.2030
90,0401,41,KA,Soziokultur Achtermannstraße e.V.,Personalkostenzuschuss Geschäftsführung,47000.0,47000.0,0.0,0.0,47850.0,47850.0,0.0,0.0,freiwillig,31.12.2028
91,0401,41,KA,Stadtheimatbund Münster e.V.,Betrieb des Stadtheimatbundes / Torhaus,5960.0,5364.0,0.0,596.0,6070.0,5463.0,0.0,607.0,freiwillig,31.12.2028
92,0401,41,KA,THEAMA e.V.,"Betrieb des Kammertheaters ""Der Kleine Bühnenboden""",32960.0,29664.0,0.0,3296.0,33550.0,30195.0,0.0,3355.0,freiwillig,31.12.2027
93,0401,41,KA,Theater Titanick Münster/Leipzig GbR,Betrieb Theater Titanick,116520.0,104868.0,0.0,11652.0,81500.0,73350.0,0.0,8150.0,freiwillig,31.12.2028
94,0401,41,KA,Theaterhaus Pumpenhaus gGmbH,Betrieb des Theaters im Pumpenhaus,644990.0,580491.0,0.0,64499.0,656600.0,590940.0,0.0,65660.0,freiwillig,31.12.2033
95,0401,41,KA,Theaterhaus Pumpenhaus gGmbH,Sicherung des Probenbetriebes,70660.0,63594.0,0.0,7066.0,71940.0,64746.0,0.0,7194.0,freiwillig,31.12.2033
96,0401,41,KA,Verein zur Förderung des Wolfgang Borchert Theaters e. V.,Betrieb des Wolfgang Borchert Theaters,440800.0,396720.0,0.0,44080.0,447560.0,402804.0,0.0,44756.0,freiwillig,31.12.2029
97,0401,41,KA,Westfälischer Kunstverein,Betrieb und Jahresprogramm,33340.0,30006.0,0.0,3334.0,33940.0,30546.0,0.0,3394.0,freiwillig,31.12.2032
98,0401,41,KA,Zukunftsmusik GbR,Betrieb Proberaumzentrum Am Hawerkamp,16000.0,14400.0,0.0,1600.0,16290.0,14661.0,0.0,1629.0,freiwillig,31.12.2028
99,0401,41,KA,Zukunftswerkstatt Kreuzviertel e.V.,Betrieb der Zukunftswerkstatt im Kreuzviertel,14030.0,12627.0,0.0,1403.0,14280.0,12852.0,0.0,1428.0,freiwillig,31.12.2029
100,0403,44,KA,Musikschule Wolbeck e.V.,Betriebskostenzuschuss Musikschul- arbeit in Wolbeck,241470.0,217320.0,0.0,24150.0,245510.0,220960.0,0.0,24550.0,freiwillig,31.12.2034
101,0403,44,KA,Musikschule Roxel e.V.,Betriebskostenzuschuss Musikschul- arbeit in Roxel,274390.0,246950.0,0.0,27440.0,278990.0,251090.0,0.0,27900.0,freiwillig,31.12.2034
102,0403,44,KA,Musikschule Nienberge e.V.,Betriebskostenzuschuss Musikschul- arbeit in Nienberge,351220.0,316100.0,0.0,35120.0,357110.0,321400.0,0.0,35710.0,freiwillig,31.12.2034
103,0403,44,KA,Musikschule Albachten e.V.,Betriebskostenzuschuss Musikschul- arbeit in Albachten,230490.0,207440.0,0.0,23050.0,234370.0,210930.0,0.0,23440.0,freiwillig,31.12.2034
