Code,Bezeichnung,Ebene,Stellen_Beamte_VZAE_2026,Stellen_Tarif_VZAE_2026,Stellen_Gesamt_VZAE_2026,Stellen_Beamte_VZAE_2027,Stellen_Tarif_VZAE_2027,Stellen_Gesamt_VZAE_2027
0204,BÜRGERANGELEGENHEITEN,PG,27.76,49.84,77.6,27.76,49.84,77.6
0205,STANDESAMTS- ANGELEGENHEITEN,PG,12.5,7.5,20.0,12.5,7.5,20.0
0206,AUSLÄNDER- ANGELEGENHEITEN,PG,22.25,27.39,49.64,22.25,27.39,49.64
0207,STATISTIK,PG,0.4,7.29,7.69,0.4,7.29,7.69
0209,BRANDSCHUTZ UND FEUERWEHRTECHNISCHE HILFELEISTUNG,PG,302.75,30.55,333.3,315.22,30.55,345.77
0210,RETTUNGSDIENST,PG,167.84,21.54,189.38,167.84,21.54,189.38
0211,VETERINÄRWESEN UND LEBENSMITTEL- ÜBERWACHUNG,PG,5.2,18.08,23.28,5.2,18.08,23.28
0301,LEISTUNGEN FÜR SCHULEN,PG,19.71,292.29,312.0,19.04,294.51,313.55
0302,ZENTRALE LEISTUNGEN FÜR SCHÜLER/-INNEN UND AM SCHULLEBEN BETEILIGTE,PG,10.65,34.78,45.43,11.32,33.07,44.39
0401,KULTURMANAGEMENT/ KULTURFÖRDERUNG,PG,0.0,17.82,17.82,0.0,17.82,17.82
0402,VOLKSHOCHSCHULE,PG,2.85,22.63,25.48,2.85,22.63,25.48
0403,WESTFÄLISCHE SCHULE FÜR MUSIK UND FÖRDERUNG DER STADTTEILMUSIKSCHULEN,PG,1.0,70.76,71.76,1.0,70.76,71.76
0404,STADTBÜCHEREI UND FÖRDERUNG VON BÜCHEREIEN FREIER TRÄGER,PG,1.51,62.73,64.24,1.51,62.73,64.24
0405,STADTMUSEUM,PG,2.0,14.26,16.26,2.0,14.26,16.26
0406,STADTARCHIV,PG,3.0,9.03,12.03,3.0,9.03,12.03
0407,THEATER MÜNSTER,PG,4.0,0.0,4.0,4.0,0.0,4.0
0408,GESCHICHTSORT VILLA TEN HOMPEL,PG,0.0,6.52,6.52,0.0,6.52,6.52
0501,STÄDTISCHE ARBEITSGELEGENHEITEN AGH,PG,70.1,234.74,304.84,70.1,233.74,303.84
0502,SICHERUNG DES LEBENSUNTERHALTS (OHNE SGB II),PG,32.19,26.57,58.76,32.19,26.57,58.76
0503,SICHERUNG BESONDERER SOZIALER BEDARFE,PG,30.39,110.5,140.89,30.39,111.0,141.39
0504,WOHNGELD,PG,11.43,20.72,32.15,11.43,20.72,32.15
0601,FÖRDERUNG VON KINDERN IN TAGESBETREUUNG,PG,21.18,537.09,558.27,21.18,537.09,558.27
0602,KINDER- UND JUGENDARBEIT,PG,3.3,186.73,190.03,3.3,176.09,179.39
0603,FÖRDERUNG VON BENACHTEILIGTEN JUNGEN MENSCHEN,PG,1.96,33.44,35.4,1.96,33.44,35.4
0604,FAMILIENFÖRDERUNG,PG,5.42,14.01,19.43,5.42,14.01,19.43
0605,ERZIEHERISCHE UND WIRTSCHAFTLICHE HILFEN FÜR FAMILIEN,PG,36.28,105.55,141.83,36.28,105.55,141.83
0701,GESUNDHEITSDIENSTE,PG,14.05,84.71,98.76,14.05,84.21,98.26
0801,"SPORTENTWICKLUNG, SPORTANLAGEN UND - STÄTTEN",PG,6.52,14.05,20.57,6.52,14.05,20.57
0802,BÄDER,PG,2.48,91.51,93.99,2.48,91.51,93.99
0901,"STADT- UND REGIONALENTWICKLUNG, STADTPLANUNG",PG,18.82,49.63,68.45,18.82,49.63,68.45
0902,"VERMESSUNG, KATASTER UND GEOINFORMATION",PG,14.5,74.64,89.14,14.5,74.64,89.14
1001,BAUAUFSICHT UND BAURECHTLICHE BERATUNG,PG,29.0,34.68,63.68,29.0,34.68,63.68
1002,DENKMALSCHUTZ UND DENKMALPFLEGE,PG,2.4,10.8,13.2,2.4,10.8,13.2
1003,WOHNEN,PG,18.05,23.7,41.75,18.05,24.7,42.75
1101,ABWASSERBESEITIGUNG,PG,8.08,207.67,215.75,8.08,208.57,216.65
1102,ABFALLWIRTSCHAFT (AWM),PG,3.5,0.0,3.5,3.5,0.0,3.5
1201,BEREITSTELLUNG VON VERKEHRSFLÄCHEN UND - ANLAGEN,PG,21.53,153.71,175.24,21.53,153.81,175.34
1301,GRÜN- UND FREIFLÄCHEN,PG,9.0,156.21,165.21,9.0,156.21,165.21
1302,FRIEDHÖFE,PG,1.5,20.68,22.18,1.5,20.68,22.18
1303,"NATUR, LANDSCHAFT, ERHOLUNG, WASSERSCHUTZ",PG,7.77,26.63,34.4,7.77,26.63,34.4
1304,FLIEßENDE GEWÄSSER,PG,0.06,6.37,6.43,0.06,6.37,6.43
1305,WALD UND FORSTWIRTSCHAFT,PG,1.0,5.5,6.5,1.0,5.5,6.5
1401,"ÜBERGREIFENDER UMWELTSCHUTZ, KLIMA, IMMISSION, BODEN, ABFALL",PG,4.5,30.0,34.5,4.5,30.0,34.5
1502,STADTMARKETING (MM),PG,1.0,0.0,1.0,1.0,0.0,1.0
1503,STADTHALLE HILTRUP,PG,0.38,2.0,2.38,0.38,2.0,2.38
1504,ÖFFENTLICHE TOILETTENANLAGEN,PG,1.0,0.0,1.0,1.0,0.0,1.0
01,Innere Verwaltung,Produktbereich-Summe,245.45,523.96,769.41,244.45,524.96,769.41
02,Sicherheit und Ordnung,Produktbereich-Summe,587.71,326.43,914.14,600.18,326.43,926.61
03,Schulträgeraufgaben,Produktbereich-Summe,30.36,327.07,357.43,30.36,327.58,357.94
04,Kultur und Wissenschaft,Produktbereich-Summe,14.36,203.75,218.11,14.36,203.75,218.11
05,Soziale Leistungen,Produktbereich-Summe,144.11,392.53,536.64,144.11,392.03,536.14
06,"Kinder-, Jugend- und Familienhilfe",Produktbereich-Summe,68.14,876.82,944.96,68.14,866.18,934.32
07,Gesundheitsdienste,Produktbereich-Summe,14.05,84.71,98.76,14.05,84.21,98.26
08,Sportförderung,Produktbereich-Summe,9.0,105.56,114.56,9.0,105.56,114.56
09,Räumliche Planung und Entwicklung,Produktbereich-Summe,33.32,124.27,157.59,33.32,124.27,157.59
10,Bauen und Wohnen,Produktbereich-Summe,49.45,69.18,118.63,49.45,70.18,119.63
11,Ver- und Entsorgung,Produktbereich-Summe,11.58,207.67,219.25,11.58,208.57,220.15
