Code,Bezeichnung,Ebene,AnzahlZuschuesse,Zuschuss_2026_EUR,davon_Personalkosten_2026_EUR,davon_Overhead_2026_EUR,davon_sonstigeKosten_2026_EUR,Zuschuss_2027_EUR,davon_Personalkosten_2027_EUR,davon_Overhead_2027_EUR,davon_sonstigeKosten_2027_EUR
02,Sicherheit und Ordnung,Produktbereich-Summe,5,64510.0,27010.0,0.0,37500.0,64510.0,27010.0,0.0,37500.0
03,Schulträgeraufgaben,Produktbereich-Summe,18,4653770.0,3766727.0,165073.0,721970.0,4885400.0,3957565.0,184465.0,743370.0
04,Kultur und Wissenschaft,Produktbereich-Summe,50,4276770.0,3531355.0,0.0,745415.0,4239610.0,3530487.0,0.0,709123.0
05,Soziale Leistungen,Produktbereich-Summe,79,5141575.0,4068790.0,0.0,1072775.0,5125525.0,4063100.0,0.0,1062415.0
06,"Kinder-, Jugend- und Familienhilfe",Produktbereich-Summe,97,202104295.0,30144112.0,2269154.0,2227831.0,208850359.0,35649291.0,2308537.0,2183343.0
07,Gesundheitsdienste,Produktbereich-Summe,16,1453374.0,1079748.0,0.0,119972.0,1477130.0,1099170.0,0.0,122130.0
08,Sportförderung,Produktbereich-Summe,19,5086430.0,64800.0,0.0,5006990.0,5114440.0,64800.0,0.0,5035000.0
09,"Räumliche Planung und Entwicklung, Geoinformationen",Produktbereich-Summe,2,533500.0,0.0,0.0,533500.0,534000.0,0.0,0.0,534000.0
10,Bauen und Wohnen,Produktbereich-Summe,1,3820.0,0.0,0.0,3820.0,3890.0,0.0,0.0,3890.0
13,Natur- und Landschaftspflege,Produktbereich-Summe,7,224810.0,109650.0,0.0,115160.0,227060.0,110985.0,0.0,116075.0
14,Umweltschutz,Produktbereich-Summe,9,335740.0,207080.0,0.0,128660.0,336540.0,209180.0,0.0,127360.0
,Gesamtsumme Stadt Münster,Summe,339,225778621.0,44233437.0,2434227.0,11379455.0,232902814.0,50088076.0,2493002.0,11342068.0
