section;source_file;pdf_page;printed_page;kind;year;code;label;level;unit;ordentliche_ertraege;ordentliche_aufwendungen;ordentliches_ergebnis;finanzergebnis;ergebnis_laufende_verwaltung;ausserordentliches_ergebnis;ergebnis_teilhaushalt;einzahlungen_laufend;auszahlungen_laufend;saldo_laufend;einzahlungen_investitionen;auszahlungen_investitionen;saldo_investitionen;finanzmittelueberschuss_fehlbetrag;einzahlungen_finanzierung;auszahlungen_finanzierung;saldo_finanzierung;verpflichtungsermaechtigungen
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0402;Volkshochschule;product_group;EUR;2861600.00;4130480.00;-1268880.00;;-1268880.00;;-1268880.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0403;Westf. Schule für Musik;product_group;EUR;2821670.00;7793490.00;-4971820.00;;-4971820.00;;-4971820.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0404;Stadtbücherei u. Förderung freier Träger;product_group;EUR;764300.00;6442600.00;-5678300.00;;-5678300.00;;-5678300.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0405;Stadtmuseum;product_group;EUR;228500.00;2045790.00;-1817290.00;;-1817290.00;;-1817290.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0406;Stadtarchiv;product_group;EUR;62410.00;1171420.00;-1109010.00;;-1109010.00;;-1109010.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0407;Theater Münster;product_group;EUR;25000.00;26168830.00;-26143830.00;;-26143830.00;;-26143830.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0408;Geschichtsort Villa ten Hompel;product_group;EUR;264290.00;957610.00;-693320.00;;-693320.00;;-693320.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;04;Kultur und Wissenschaft;product_area;EUR;7554360.00;55652360.00;-48098000.00;;-48098000.00;;-48098000.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0501;Leist. der Grundsicherung f. Arbeitsuchende;product_group;EUR;197969720.00;227488530.00;-29518810.00;;-29518810.00;;-29518810.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0502;Sicherung Lebensunterhalt;product_group;EUR;71682020.00;92624490.00;-20942470.00;;-20942470.00;;-20942470.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0503;Sicherung besonderer sozialer Bedarfe;product_group;EUR;6819930.00;73322880.00;-66502950.00;;-66502950.00;;-66502950.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0504;Wohngeld;product_group;EUR;3000.00;2921960.00;-2918960.00;;-2918960.00;;-2918960.00;;;;;;;;;;;
