band,seite,tabelle,datei
1,153,0,band1_p153_PG0208_Wahlen_Beschreibung_t0.csv
1,154,0,band1_p154_PG0208_Wahlen_Teilergebnisplan_t0.csv
1,156,0,band1_p156_PG0208_Wahlen_Teilfinanzplan_t0.csv
1,159,0,band1_p159_PG0209_BrandschutzundfeuerwehrtechnischeHilfeleistung_Beschreibung_t0.csv
1,160,0,band1_p160_PG0209_BrandschutzundfeuerwehrtechnischeHilfeleistung_Kennzahlen_t0.csv
1,161,0,band1_p161_PG0209_BrandschutzundfeuerwehrtechnischeHilfeleistung_Tabelle_t0.csv
1,161,1,band1_p161_PG0209_BrandschutzundfeuerwehrtechnischeHilfeleistung_Tabelle_t1.csv
1,161,2,band1_p161_PG0209_BrandschutzundfeuerwehrtechnischeHilfeleistung_Tabelle_t2.csv
1,162,0,band1_p162_PG0209_BrandschutzundfeuerwehrtechnischeHilfeleistung_Tabelle_t0.csv
1,163,0,band1_p163_PG0209_BrandschutzundfeuerwehrtechnischeHilfeleistung_Teilergebnisplan_t0.csv
1,165,0,band1_p165_PG0209_BrandschutzundfeuerwehrtechnischeHilfeleistung_Teilfinanzplan_t0.csv
1,167,0,band1_p167_PG0210_Rettungsdienst_Beschreibung_t0.csv
1,168,0,band1_p168_PG0210_Rettungsdienst_Kennzahlen_t0.csv
1,169,0,band1_p169_PG0210_Rettungsdienst_Tabelle_t0.csv
1,169,1,band1_p169_PG0210_Rettungsdienst_Tabelle_t1.csv
1,169,2,band1_p169_PG0210_Rettungsdienst_Tabelle_t2.csv
1,170,0,band1_p170_PG0210_Rettungsdienst_Teilergebnisplan_t0.csv
1,172,0,band1_p172_PG0210_Rettungsdienst_Teilfinanzplan_t0.csv
1,175,0,band1_p175_PG0211_VeterinarwesenundLebensmitteluberwachung_Beschreibung_t0.csv
1,176,0,band1_p176_PG0211_VeterinarwesenundLebensmitteluberwachung_Tabelle_t0.csv
1,176,1,band1_p176_PG0211_VeterinarwesenundLebensmitteluberwachung_Tabelle_t1.csv
1,177,0,band1_p177_PG0211_VeterinarwesenundLebensmitteluberwachung_Teilergebnisplan_t0.csv
1,179,0,band1_p179_PG0211_VeterinarwesenundLebensmitteluberwachung_Teilfinanzplan_t0.csv
1,183,0,band1_p183_PG03_Schultrageraufgaben_Tabelle_t0.csv
1,184,0,band1_p184_PG03_Schultrageraufgaben_Tabelle_t0.csv
1,185,0,band1_p185_PB03_Schultrageraufgaben_Teilergebnisplan_t0.csv
1,186,0,band1_p186_PB03_Schultrageraufgaben_Teilfinanzplan_t0.csv
1,189,0,band1_p189_PG0301_LeistungenfurSchulen_Beschreibung_t0.csv
1,190,0,band1_p190_PG0301_LeistungenfurSchulen_Kennzahlen_t0.csv
1,191,0,band1_p191_PG0301_LeistungenfurSchulen_Tabelle_t0.csv
1,191,1,band1_p191_PG0301_LeistungenfurSchulen_Tabelle_t1.csv
1,192,0,band1_p192_PG0301_LeistungenfurSchulen_Tabelle_t0.csv
1,192,1,band1_p192_PG0301_LeistungenfurSchulen_Tabelle_t1.csv
1,193,0,band1_p193_PG0301_LeistungenfurSchulen_Tabelle_t0.csv
