Lfd.,Produkt-,Amt,Aus-,Empfänger,Verwendungszweck / Zielsetzung,Zuschuss 2026 in €,davon Personal- kosten,davon,davon sonst. Kosten,Zuschuss 2027 in €,davon Personal- kosten,davon,davon sonst. Kosten,verpflichtende/,zeitliche
41,0209,37,APSO,Notfallbegleitung Münster,Betriebskostenzuschuss,5.000,0,0,5.000,5.000,0,0,5.000,freiwillig,31.12.2028
42,0301,40,ASW,Bistum Münster,Papst-Johannes-Schule - Baukostenzuschuss,263.200,0,0,263.200,273.800,0,0,273.800,dem Grunde nach,31.12.2028
43,0301,40,ASW,Bistum Münster,Papst-Johannes-Schule - Beschaffungskostenzuschuss,24.000,0,0,24.000,24.000,0,0,24.000,dem Grunde nach,31.12.2028
44,0301,40,ASW,Bistum Münster,Papst-Johannes-Schule - Betriebskostenzuschuss,240.000,0,0,240.000,240.000,0,0,240.000,dem Grunde nach,31.12.2028
45,0301,40,ASW,Schülervertretungen städtischer Schulen,Zuschüsse SV-Fahrten (auf Antrag),3.610,0,0,3.610,3.610,0,0,3.610,freiwillig,31.12.2028
46,0301,40,ASW,Verkehrswacht Münster e. V.,Zuschuss Jugendverkehrsschule,17.700,13.000,0,4.700,17.900,13.200,0,4.700,dem Grunde nach,10 Jahre
47,0301,40,ASW,Diverse Träger der freien Jugendhilfe,"Stationäre Schulsozialarbeit Freie Träger gemäß Kooperationsvereinbarung an Grundschulen, weiterführenden Schulen, Berufskollegs und Förderschulen (Indikatiorenbasierte Verteilung)",2.800.870,2.665.027,135.843,0,2.905.800,2.770.835,134.965,0,dem Grunde nach,Schuljahr
48,0301,40,ASW,FAGA Münster,Projekt Bunte Schule,60.000,51.000,0,9.000,44.000,37.400,0,6.600,freiwillig,31.12.2030
49,0301,40,ASW,Mensavereine der Gesamtschulen,Zuschuss Mittagsverpflegung (Personalkosten),375.000,375.000,0,0,375.000,375.000,0,0,dem Grunde nach,31.12.2028
50,0301,40,ASW,Schulen,Musikalische Förderung im Gz-Bereich,2.000,0,0,2.000,2.000,0,0,2.000,freiwillig,31.12.2028
51,0301,40,ASW,Diverse Träger der freien Jugendhilfe,Modellprojekt intensivpädagogische Förderung,287.600,273.220,14.380,0,293.000,278.350,14.650,0,dem Grunde nach,Schuljahr
52,0301,40,ASW,Schulen der Stadt Münster,"Projekt ""Demokratie macht Schule""",15.000,5.000,5.000,5.000,15.000,5.000,5.000,5.000,freiwillig,31.12.2028
53,0302,40,ASW,div. Schüler*innen bzw. Eltern / Sorgeberechtigte,Übernahme Eigenanteil Lernmittel,15.000,0,0,15.000,15.000,0,0,15.000,Höhe und Grund nach,31.12.2030
54,0302,40,ASW,Lernen fördern e. V.,"Projekt ""Vertiefte Berufsorientierung""",30.880,25.000,0,5.880,30.880,25.000,0,5.880,dem Grunde nach,Schuljahr
55,0302,40,ASW,Verschiedene Projektträger,"Kommunale Projektförderung ""Schule-Beruf""",339.960,245.000,0,94.960,344.060,249.900,0,94.160,dem Grunde nach,Schuljahr bzw. teilweise Haushaltsjahr
56,0302,40,ASW,Schulen,Sozialfonds,24.000,0,0,24.000,24.000,0,0,24.000,freiwillig,31.12.2030
