0701,GESUNDHEITSDIENSTE,,,,,,,,,,,,"0,80",,,,,,"3,65",,,"2,50",,,,,,"1,00",,,"1,00",,,"2,00",,,"2,10",,,,,,,,,"1,00",,,,,,"14,05",,
,,Summen: Produktbereich 07,,,"0,00",,,"0,00",,,"0,00",,,"0,80",,,"0,00",,,"3,65",,,"2,50",,,"0,00",,,"1,00",,,"1,00",,,"2,00",,,"2,10",,,"0,00",,,"0,00",,,"1,00",,,"0,00",,,"14,05",
,,Gesundheitsdienste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0801,"SPORTENTWICKLUNG, SPORTANLAGEN UND - STÄTTEN",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00",,,,,,"2,72",,,"1,90",,,,,,,,,"0,90",,,,,,"6,52",,
0802,BÄDER,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00",,,,,,"0,28",,,"0,10",,,"1,00",,,,,,"0,10",,,,,,"2,48",,
,,Summen: Produktbereich 08,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"2,00",,,"0,00",,,"3,00",,,"2,00",,,"1,00",,,"0,00",,,"1,00",,,"0,00",,,"9,00",
,,Sportförderung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901,"STADT- UND REGIONALENTWICKLUNG, STADTPLANUNG",,,,,,,,,,,,,,,"0,60",,,"2,80",,,"6,80",,,"4,00",,,"1,50",,,,,,"1,73",,,"1,39",,,,,,,,,,,,,,,"18,82",,
0902,"VERMESSUNG, KATASTER UND GEOINFORMATION",,,,,,,,,,,,,,,"1,00",,,"2,00",,,,,,"1,00",,,"3,00",,,"4,00",,,"3,00",,,,,,,,,,,,"0,50",,,,,,"14,50",,
,,Summen: Produktbereich 09,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"1,60",,,"4,80",,,"6,80",,,"5,00",,,"4,50",,,"4,00",,,"4,73",,,"1,39",,,"0,00",,,"0,00",,,"0,50",,,"0,00",,,"33,32",,
,,"Räumliche Planung, Entwick-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,lung/GeoInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,BAUAUFSICHT UND BAURECHTLICHE BERATUNG,,,,,,,,,,,,,,,"1,00",,,"1,00",,,"5,00",,,,,,"1,00",,,"10,00",,,"8,00",,,"2,00",,,,,,"1,00",,,,,,,,,"29,00",,
1002,DENKMALSCHUTZ UND DENKMALPFLEGE,,,,,,,,,,,,,,,"0,20",,,"1,20",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00",,,,,,"2,40",,
1003,WOHNEN,,,,,,,,,,,,,,,,,,"0,70",,,"1,00",,,,,,"0,70",,,"2,00",,,"3,78",,,"5,75",,,,,,"2,00",,,"2,12",,,,,,"18,05",,
,,Summen: Produktbereich 10,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"1,20",,,"2,90",,,"6,00",,,"0,00",,,"1,70",,,"12,00",,,"11,78",,,"7,75",,,"0,00",,,"3,00",,,"3,12",,,"0,00",,,"49,45",
,,Bauen und Wohnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
