Lfd.,Produkt-,Amt,Aus-,Empfänger,Verwendungszweck / Zielsetzung,Zuschuss 2026 in €,davon Personal- kosten,davon,davon sonst. Kosten,Zuschuss 2027 in €,davon Personal- kosten,davon,davon sonst. Kosten,verpflichtende/,zeitliche
265,0604,51,AKJF,Eichendorffschule in Angelmodde und an der Ludgerusschule in Hiltrup,Schulvorbereitung; die Schulerfolgschancen der Kinder deutscher und nicht deutscher Herkunft im Stadtteil Angelmodde/Hiltrup zu verbessern.,6.147,-,-,-,6.260,-,-,-,dem Grunde nach,31.12.2031
266,0604,51,AKJF,Verband alleinerziehender Mütter und Väter Münster e. V.,"Beratung alleinerziehender Mütter und Väter, Kinderbetreuung in Notsituationen (zu 60 % in PG 0605)",45.722,-,-,-,47.695,-,-,-,dem Grunde nach,31.12.2029
267,0604,51,AKJF,M.U.M.- Mehrgenerationenhaus und Mütterzentrum Münster e.V.,"Mütterzentrum, Familiencafè,",10.000,-,-,-,10.000,-,-,-,dem Grunde nach,31.12.2029
268,0604,51,AKJF,M.U.M.- Mehrgenerationenhaus und Mütterzentrum Münster e.V.,Miete,42.080,-,-,-,42.080,-,-,-,dem Grunde nach,31.12.2029
269,0604,51,AKJF,M.U.M.- Mehrgenerationenhaus und Mütterzentrum Münster e.V.,Elterntalk,8.000,-,-,-,8.000,-,-,-,dem Grunde nach,31.12.2029
270,0604,51,AKJF,Caritas JAZ,Handwerker-Projekte Waldschule Kinderhaus:,22.000,-,-,-,22.000,-,-,-,dem Grunde nach,31.12.2028
271,0605,51,AKJF,Beratungstelle Südviertel e.V.,Erziehungsberatung (60%/ 40% in PG0604),307.273,-,-,-,312.878,-,-,-,dem Grunde nach,31.12.2029
272,0605,51,AKJF,Caritas,Erziehungsberatung (zu 40 % in PG 0604),499.919,-,-,-,509.038,-,-,-,dem Grunde nach,31.12.2029
273,0605,51,AKJF,Diakonie BBC,Erziehungsberatung (zu 40 % in PG 0604),367.115,-,-,-,373.812,-,-,-,dem Grunde nach,31.12.2029
274,0605,51,AKJF,Der Kinderschutzbund,"Beratung und Hilfe im Aufgabenschwerpunkt ""Gewalt in der Familie"", Öffentlichkeitsarbeit, Weiterbildung von Mitarbeitenden (zu 60 % in PG 0604)",129.778,-,-,-,132.121,-,-,-,dem Grunde nach,31.12.2028
275,0605,51,AKJF,Kinderschutzambulanz/ DRK,Ärztliche Kinderschutzambulanz (zu 20 % in PG 0604),334.404,-,-,-,340.504,-,-,-,dem Grunde nach,31.12.2028
