,,,,,TVÖD Pflege,,,,,,,,BT-V Soz. & Erz. Dienst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0603,FÖRDERUNG VON BENACHTEILIGTEN JUNGEN MENSCHEN,,,,,,,,,,,,"2,87",,,,,,,,,"4,16",,,,,,,,,"17,96",,,,,,,,,"5,00",,,,,,,,,,,,,,,"0,15",,,"33,44",,
0604,FAMILIENFÖRDERUNG,,,,,,,,,,,,"0,81",,,"1,05",,,,,,"1,83",,,"1,52",,,,,,"3,81",,,,,,,,,,,,,,,,,,,,,,,,"0,15",,,"14,01",,
0605,ERZIEHERISCHE UND WIRTSCHAFTLICHE HILFEN FÜR FAMILIEN,,,,,,,,,,,,"9,66",,,"6,35",,,,,,"5,73",,,"42,59",,,,,,"23,67",,,,,,,,,,,,,,,,,,,,,,,,"0,30",,,"105,55",,
,,Summen: Produktbereich 06,,"0,00",,,"0,00",,,"0,00",,,"20,25",,,"15,50",,,"4,00",,,"41,91",,,"44,11",,,"23,00",,,"96,07",,,"5,19",,,"1,00",,,"19,40",,,"17,59",,,"371,59",,,"75,40",,,"53,91",,,"1,00",,,"876,83",,
,,"Kinder-, Jugend- und Famili-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,enhilfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0701,GESUNDHEITSDIENSTE,,,"0,50",,,"3,51",,,"0,75",,,"1,00",,,,,,,,,,,,"10,72",,,,,,"12,64",,,,,,,,,,,,,,,"0,65",,,,,,,,,,,,"84,71",,
,,Summen: Produktbereich 07,,,"0,50",,,"3,51",,,"0,75",,,"1,00",,,"0,00",,,"0,00",,,"0,00",,,"10,72",,,"0,00",,,"12,64",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,65",,,"0,00",,,"0,00",,,"0,00",,,"84,71",
,,Gesundheitsdienste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0801,"SPORTENTWICKLUNG, SPORTANLAGEN UND - STÄTTEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,05",,
0802,BÄDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,51",,
,,Summen: Produktbereich 08,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"105,56",
,,Sportförderung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901,"STADT- UND REGIONALENTWICKLUNG, STADTPLANUNG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,63",,
0902,"VERMESSUNG, KATASTER UND GEOINFORMATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74,64",,
,,Summen: Produktbereich 09,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"124,27",,
,,"Räumliche Planung, Entwick-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,lung/GeoInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
