,,,,,TVÖD VKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0604,FAMILIENFÖRDERUNG,,,"0,07",,,,,,,,,,,,,,,"0,15",,,"1,00",,,"1,00",,,"0,77",,,,,,,,,"1,82",,,"0,04",,,,,,,,,,,
0605,ERZIEHERISCHE UND WIRTSCHAFTLICHE HILFEN FÜR FAMILIEN,,,"0,93",,,,,,,,,"1,00",,,"1,00",,,"2,10",,,"3,00",,,"1,83",,,"0,50",,,"2,00",,,,,,"1,33",,,"3,57",,,,,,,,,,,
,,Summen: Produktbereich 06,,"3,00",,,"1,00",,,"0,00",,,"3,00",,,"3,00",,,"3,50",,,"4,00",,,"13,51",,,"4,02",,,"15,33",,,"1,00",,,"11,80",,,"5,16",,,"2,77",,,"2,12",,,"13,70",,
,,"Kinder-, Jugend- und Famili-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,enhilfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0701,GESUNDHEITSDIENSTE,,,"10,85",,,"3,52",,,"1,50",,,"3,00",,,"5,50",,,"1,30",,,,,,"0,30",,,"8,53",,,"3,25",,,,,,"9,49",,,"7,20",,,,,,,,,,,
,,Summen: Produktbereich 07,,,"10,85",,,"3,52",,,"1,50",,,"3,00",,,"5,50",,,"1,30",,,"0,00",,,"0,30",,,"8,53",,,"3,25",,,"0,00",,,"9,49",,,"7,20",,,"0,00",,,"0,00",,,"0,00",
,,Gesundheitsdienste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0801,"SPORTENTWICKLUNG, SPORTANLAGEN UND - STÄTTEN",,,"0,70",,,"1,00",,,,,,"1,00",,,"3,00",,,"1,00",,,"0,50",,,"0,85",,,"1,50",,,,,,,,,"4,00",,,,,,,,,"0,50",,,,,
0802,BÄDER,,,"0,30",,,,,,,,,,,,"4,50",,,,,,,,,"1,90",,,"2,00",,,"14,00",,,"14,00",,,"3,00",,,"43,03",,,"5,42",,,"3,36",,,,,
,,Summen: Produktbereich 08,,,"1,00",,,"1,00",,,"0,00",,,"1,00",,,"7,50",,,"1,00",,,"0,50",,,"2,75",,,"3,50",,,"14,00",,,"14,00",,,"7,00",,,"43,03",,,"5,42",,,"3,86",,,"0,00",
,,Sportförderung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901,"STADT- UND REGIONALENTWICKLUNG, STADTPLANUNG",,,"1,50",,,"0,25",,,"9,88",,,"11,09",,,"16,80",,,,,,,,,"0,61",,,"6,50",,,"0,50",,,,,,"2,50",,,,,,,,,,,,,,
0902,"VERMESSUNG, KATASTER UND GEOINFORMATION",,,"1,00",,,"2,00",,,"3,00",,,"14,00",,,"7,77",,,"12,00",,,,,,"1,00",,,"21,02",,,"1,00",,,,,,"11,85",,,,,,,,,,,,,,
,,Summen: Produktbereich 09,,"2,50",,,"2,25",,,"12,88",,,"25,09",,,"24,57",,,"12,00",,,"0,00",,,"1,61",,,"27,52",,,"1,50",,,"0,00",,,"14,35",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,
,,"Räumliche Planung, Entwick-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,lung/GeoInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,BAUAUFSICHT UND BAURECHTLICHE BERATUNG,,,,,,,,,,,,"12,00",,,"11,68",,,,,,,,,"7,50",,,,,,,,,"1,00",,,"1,00",,,"1,50",,,,,,,,,,,
1002,DENKMALSCHUTZ UND DENKMALPFLEGE,,,,,,"1,75",,,"1,00",,,"2,95",,,"0,10",,,,,,,,,"3,00",,,,,,,,,,,,"1,00",,,,,,"1,00",,,,,,,,
